"subjId";"fanSpeed";"TSV";"fanType"
"1";1;0;0;"downstream"
"2";2;1;1;"downstream"
"3";3;1;0;"downstream"
"4";4;0;0;"downstream"
"5";5;1;0;"downstream"
"6";6;0;1;"downstream"
"7";7;0;0;"downstream"
"8";8;0;1;"downstream"
"9";9;0;0;"downstream"
"10";10;0;0;"downstream"
"11";11;0;0;"downstream"
"12";12;0;0;"downstream"
"13";13;0;0;"downstream"
"14";14;0;0;"downstream"
"15";15;0;0;"downstream"
"16";16;0;0;"downstream"
"17";17;0;1;"downstream"
"18";18;0;0;"downstream"
"19";19;0;1;"downstream"
"20";20;0;1;"downstream"
"21";21;1;0;"downstream"
"22";1;0;0;"downstream"
"23";2;0;0;"downstream"
"24";3;0;0;"downstream"
"25";4;0;0;"downstream"
"26";5;0;0;"downstream"
"27";6;1;1;"downstream"
"28";7;0;0;"downstream"
"29";8;0;0;"downstream"
"30";9;0;0;"downstream"
"31";10;1;0;"downstream"
"32";11;0;0;"downstream"
"33";12;0;0;"downstream"
"34";13;0;0;"downstream"
"35";14;0;0;"downstream"
"36";15;0;0;"downstream"
"37";16;0;0;"downstream"
"38";17;0;0;"downstream"
"39";18;0;0;"downstream"
"40";19;0;0;"downstream"
"41";20;0;0;"downstream"
"42";21;0;0;"downstream"
"43";1;1;0;"downstream"
"44";2;0;0;"downstream"
"45";3;0;0;"downstream"
"46";4;2;0;"downstream"
"47";5;0;0;"downstream"
"48";6;1;1;"downstream"
"49";7;2;0;"downstream"
"50";8;1;0;"downstream"
"51";9;0;1;"downstream"
"52";10;1;0;"downstream"
"53";11;0;0;"downstream"
"54";12;1;0;"downstream"
"55";13;0;1;"downstream"
"56";14;1;0;"downstream"
"57";15;0;1;"downstream"
"58";16;0;1;"downstream"
"59";17;0;1;"downstream"
"60";18;0;0;"downstream"
"61";19;0;1;"downstream"
"62";20;0;1;"downstream"
"63";21;0;0;"downstream"
"64";1;1;1;"downstream"
"65";2;0;0;"downstream"
"66";3;2;1;"downstream"
"67";4;2;0;"downstream"
"68";5;0;0;"downstream"
"69";6;1;1;"downstream"
"70";7;2;0;"downstream"
"71";8;1;1;"downstream"
"72";9;0;1;"downstream"
